Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
101,KSC,Starlink,"15,410 kg",,,,,,6 December 2020,16:17:08
102,CCSFS,GPS III,"4,311 kg",,,,,,13 December 2020,17:30:00
103,KSC,ANASIS-II,"5,000–6,000 kg",,,,,,19 December 2020,14:00:00
104,CCSFS,Starlink,"14,932 kg",,,,,,8 January 2021,02:15
105,KSC,Starlink,"~15,440 kg",,,,,,20 January 2021,13:02
106,CCSFS,SAOCOM 1B,"3,130 kg",,,,,,24 January 2021,15:00
1,CCSFS,Starlink,"15,600 kg",,,,,,4 June 2010,18:45
2,CCSFS,Starlink,"15,600 kg",,,,,,8 December 2010,15:43
3,KSC,Starlink,"15,600 kg",,,,,,22 May 2012,07:44
4,CCSFS,Starlink,"15,600 kg",,,,,,8 October 2012,00:35
5,KSC,GPS III,"4,311 kg",,,,,,1 March 2013,15:10
6,CCSFS,Crew-1,"~12,500 kg",,,,,,29 September 2013,16:00
7,CCSFS,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",,,,,,3 December 2013,22:41
8,KSC,Starlink,"15,600 kg",,,,,,6 January 2014,22:06
9,CCSFS,SpaceX CRS-21,"2,972 kg",,,,,,18 April 2014,19:25
10,KSC,SXM-7,"7,000 kg",,,,,,14 July 2014,15:15
11,CCSFS,NROL-108,C,,,,,,5 August 2014,08:00
12,KSC,Türksat 5A,"3,500 kg",,,,,,7 September 2014,05:00
13,CCSFS,Starlink,"15,600 kg",,,,,,21 September 2014,05:52
14,KSC,Transporter-1,"~5,000 kg",,,,,,10 January 2015,09:47
15,CCSFS,Dragon Spacecraft Qualification Unit,"15,600 kg",,,,,,11 February 2015,23:03
16,CCAFS,Dragon,"15,600 kg",,,,,,2 March 2015,03:50
17,CCAFS,Dragon,"15,600 kg",,,,,,14 April 2015,20:10
18,CCAFS,SpaceX CRS-1,"15,600 kg",,,,,,27 April 2015,23:03
19,CCAFS,SpaceX CRS-2,"15,600 kg",,,,,,28 June 2015,14:21
20,CCAFS,CASSIOPE,"15,600 kg",,,,,,22 December 2015,01:29
21,VAFB,SES-8,"15,600 kg",,,,,,17 January 2016,18:42
22,CCAFS,Thaicom 6,"~13,000 kg",,,,,,4 March 2016,23:35
23,CCAFS,SpaceX CRS-3,"15,600 kg",,,,,,8 April 2016,20:43
24,Cape Canaveral,Orbcomm-OG2,"15,600 kg",,,,,,6 May 2016,05:21
25,Cape Canaveral,AsiaSat 8,"15,600 kg",,,,,,27 May 2016,21:39
26,Cape Canaveral,AsiaSat 6,"~14,000 kg",,,,,,15 June 2016,14:29
27,Cape Canaveral,SpaceX CRS-4,"15,600 kg",,,,,,18 July 2016,04:45
28,Cape Canaveral,SpaceX CRS-5,"3,328 kg",,,,,,14 August 2016,05:26
29,Cape Canaveral,DSCOVR,"7,000 kg",,,,,,14 January 2017,17:54
30,Cape Canaveral,ABS-3A,,,,,,,19 February 2017,14:39
31,Cape Canaveral,SpaceX CRS-6,,,,,,,16 March 2017,06:00
32,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,,,,,,,30 March 2017,22:27
33,Cape Canaveral,SpaceX CRS-7,,,,,,,1 May 2017,11:15
34,Cape Canaveral,Orbcomm-OG2,,,,,,,15 May 2017,23:21
35,Cape Canaveral,Jason-3,,,,,,,3 June 2017,21:07
36,VAFB,SES-9,,,,,,,23 June 2017,19:10
37,Cape Canaveral,SpaceX CRS-8,,,,,,,25 June 2017,20:25
38,Cape Canaveral,JCSAT-14,,,,,,,5 July 2017,23:38
39,Cape Canaveral,Thaicom 8,,,,,,,14 August 2017,16:31
40,Cape Canaveral,ABS-2A,,,,,,,24 August 2017,18:51
41,Cape Canaveral,SpaceX CRS-9,,,,,,,7 September 2017,14:00
42,Cape Canaveral,JCSAT-16,,,,,,,9 October 2017,12:37
43,Cape Canaveral,Iridium NEXT,,,,,,,11 October 2017,22:53:00
44,VAFB,SpaceX CRS-10,,,,,,,30 October 2017,19:34
45,KSC,EchoStar 23,,,,,,,15 December 2017,15:36
46,KSC,SES-10,,,,,,,23 December 2017,01:27
47,KSC,NROL-76,,,,,,,8 January 2018,01:00
48,KSC,Inmarsat-5 F4,,,,,,,31 January 2018,21:25
49,KSC,SpaceX CRS-11,,,,,,,22 February 2018,14:17
50,KSC,BulgariaSat-1,,,,,,,6 March 2018,05:33
51,KSC,Iridium NEXT,,,,,,,30 March 2018,14:14
52,VAFB,Intelsat 35e,,,,,,,2 April 2018,20:30
53,KSC,SpaceX CRS-12,,,,,,,18 April 2018,22:51
54,KSC,Formosat-5,,,,,,,11 May 2018,20:14
55,VAFB,Boeing X-37B,,,,,,,22 May 2018,19:47
56,KSC,Iridium NEXT,,,,,,,4 June 2018,04:45
57,VAFB,SES-11,,,,,,,29 June 2018,09:42
58,KSC,Koreasat 5A,,,,,,,22 July 2018,05:50
59,KSC,SpaceX CRS-13,,,,,,,25 July 2018,11:39
60,Cape Canaveral,Iridium NEXT,,,,,,,7 August 2018,05:18
61,VAFB,Zuma,,,,,,,10 September 2018,04:45
62,CCAFS,GovSat-1,,,,,,,8 October 2018,02:22
63,CCAFS,Paz,,,,,,,15 November 2018,20:46
64,VAFB,Hispasat 30W-6,,,,,,,3 December 2018,18:34:05
65,CCAFS,Iridium NEXT,,,,,,,5 December 2018,18:16
66,VAFB,SpaceX CRS-14,,,,,,,23 December 2018,13:51
67,CCAFS,Transiting Exoplanet Survey Satellite,,,,,,,11 January 2019,15:31
68,CCAFS,Bangabandhu-1,,,,,,,22 February 2019,01:45
69,KSC,Iridium NEXT,,,,,,,2 March 2019,07:49
70,VAFB,SES-12,,,,,,,4 May 2019,06:48
71,CCAFS,SpaceX CRS-15,,,,,,,24 May 2019,02:30
72,CCAFS,Telstar 19V,,,,,,,12 June 2019,14:17
73,CCAFS,Iridium NEXT,,,,,,,25 July 2019,22:01
74,VAFB,Merah Putih,,,,,,,6 August 2019,23:23
75,CCAFS,Telstar 18V,,,,,,,11 November 2019,14:56
76,CCAFS,SAOCOM 1A,,,,,,,5 December 2019,17:29
77,VAFB,Es'hail 2,,,,,,,17 December 2019,00:10
78,KSC,SSO-A,,,,,,,7 January 2020,02:19:21
79,VAFB,SpaceX CRS-16,,,,,,,19 January 2020,15:30
80,CCAFS,GPS III,,,,,,,29 January 2020,14:07
81,CCAFS,Iridium NEXT,,,,,,,17 February 2020,15:05
82,VAFB,Nusantara Satu,,,,,,,7 March 2020,04:50
83,CCAFS,Crew Dragon Demo-1,,,,,,,18 March 2020,12:16
84,KSC,SpaceX CRS-17,,,,,,,22 April 2020,19:30
85,CCAFS,Starlink,,,,,,,30 May 2020,19:22
86,CCAFS,RADARSAT Constellation,,,,,,,4 June 2020,01:25
87,VAFB,SpaceX CRS-18,,,,,,,13 June 2020,09:21
88,CCAFS,AMOS-17,,,,,,,30 June 2020,20:10:46
89,CCAFS,Starlink,,,,,,,20 July 2020,21:30
90,CCAFS,SpaceX CRS-19,,,,,,,7 August 2020,05:12
91,CCAFS,JCSat-18,,,,,,,18 August 2020,14:31
92,CCAFS,Starlink,,,,,,,30 August 2020,23:18
93,CCAFS,Crew Dragon in-flight abort test,,,,,,,3 September 2020,12:46:14
94,KSC,Starlink,,,,,,,6 October 2020,11:29:34
95,CCAFS,Starlink,,,,,,,18 October 2020,12:25:57
96,CCAFS,SpaceX CRS-20,,,,,,,24 October 2020,15:31:34
97,CCAFS,Starlink,,,,,,,5 November 2020,23:24:23
98,KSC,Starlink,,,,,,,16 November 2020,00:27
99,KSC,Crew Dragon Demo-2,,,,,,,21 November 2020,17:17:08
100,KSC,Starlink,,,,,,,25 November 2020,02:13
101,CCAFS,Starlink,,,,,,,6 December 2020,16:17:08
102,CCAFS,GPS III,,,,,,,13 December 2020,17:30:00
103,CCAFS,ANASIS-II,,,,,,,19 December 2020,14:00:00
104,CCAFS,Starlink,,,,,,,8 January 2021,02:15
105,KSC,Starlink,,,,,,,20 January 2021,13:02
106,CCAFS,SAOCOM 1B,,,,,,,24 January 2021,15:00
1,CCAFS,Starlink,,,,,,,4 June 2010,18:45
2,KSC,Starlink,,,,,,,8 December 2010,15:43
3,KSC,Starlink,,,,,,,22 May 2012,07:44
4,KSC,Starlink,,,,,,,8 October 2012,00:35
5,CCAFS,GPS III,,,,,,,1 March 2013,15:10
6,CCAFS,Crew-1,,,,,,,29 September 2013,16:00
7,KSC,Sentinel-6 Michael Freilich (Jason-CS A),,,,,,,3 December 2013,22:41
8,VAFB,Starlink,,,,,,,6 January 2014,22:06
9,CCAFS,SpaceX CRS-21,,,,,,,18 April 2014,19:25
10,KSC,SXM-7,,,,,,,14 July 2014,15:15
11,CCSFS,NROL-108,,,,,,,5 August 2014,08:00
12,KSC,Türksat 5A,,,,,,,7 September 2014,05:00
13,CCSFS,Starlink,,,,,,,21 September 2014,05:52
14,KSC,Transporter-1,,,,,,,10 January 2015,09:47
15,CCSFS,Starlink,,,,,,,11 February 2015,23:03
16,CCAFS,Starlink,,,,,,,2 March 2015,03:50
17,CCAFS,Starlink,,,,,,,14 April 2015,20:10
18,CCAFS,Starlink,,,,,,,27 April 2015,23:03
19,CCAFS,Starlink,,,,,,,28 June 2015,14:21
20,CCAFS,Starlink,,,,,,,22 December 2015,01:29
21,VAFB,Starlink,,,,,,,17 January 2016,18:42
22,CCAFS,Crew-2,,,,,,,4 March 2016,23:35
23,CCAFS,Starlink,,,,,,,8 April 2016,20:43
24,Cape Canaveral,Starlink,,,,,,,6 May 2016,05:21
25,Cape Canaveral,Starlink,,,,,,,27 May 2016,21:39
26,Cape Canaveral,Starlink,,,,,,,15 June 2016,14:29
27,Cape Canaveral,Starlink,,,,,,,18 July 2016,04:45
28,Cape Canaveral,SpaceX CRS-22,,,,,,,14 August 2016,05:26
29,Cape Canaveral,SXM-8,,,,,,,14 January 2017,17:54
30,Cape Canaveral,,,,,,,,19 February 2017,14:39
31,Cape Canaveral,,,,,,,,16 March 2017,06:00
32,Cape Canaveral,,,,,,,,30 March 2017,22:27
33,Cape Canaveral,,,,,,,,1 May 2017,11:15
34,Cape Canaveral,,,,,,,,15 May 2017,23:21
35,Cape Canaveral,,,,,,,,3 June 2017,21:07
36,VAFB,,,,,,,,23 June 2017,19:10
37,Cape Canaveral,,,,,,,,25 June 2017,20:25
38,Cape Canaveral,,,,,,,,5 July 2017,23:38
39,Cape Canaveral,,,,,,,,14 August 2017,16:31
40,Cape Canaveral,,,,,,,,24 August 2017,18:51
41,Cape Canaveral,,,,,,,,7 September 2017,14:00
42,Cape Canaveral,,,,,,,,9 October 2017,12:37
43,Cape Canaveral,,,,,,,,11 October 2017,22:53:00
44,VAFB,,,,,,,,30 October 2017,19:34
45,KSC,,,,,,,,15 December 2017,15:36
46,KSC,,,,,,,,23 December 2017,01:27
47,KSC,,,,,,,,8 January 2018,01:00
48,KSC,,,,,,,,31 January 2018,21:25
49,KSC,,,,,,,,22 February 2018,14:17
50,KSC,,,,,,,,6 March 2018,05:33
51,KSC,,,,,,,,30 March 2018,14:14
52,VAFB,,,,,,,,2 April 2018,20:30
53,KSC,,,,,,,,18 April 2018,22:51
54,KSC,,,,,,,,11 May 2018,20:14
55,VAFB,,,,,,,,22 May 2018,19:47
56,KSC,,,,,,,,4 June 2018,04:45
57,VAFB,,,,,,,,29 June 2018,09:42
58,KSC,,,,,,,,22 July 2018,05:50
59,KSC,,,,,,,,25 July 2018,11:39
60,Cape Canaveral,,,,,,,,7 August 2018,05:18
61,VAFB,,,,,,,,10 September 2018,04:45
62,CCAFS,,,,,,,,8 October 2018,02:22
63,CCAFS,,,,,,,,15 November 2018,20:46
64,VAFB,,,,,,,,3 December 2018,18:34:05
65,CCAFS,,,,,,,,5 December 2018,18:16
66,VAFB,,,,,,,,23 December 2018,13:51
67,CCAFS,,,,,,,,11 January 2019,15:31
68,CCAFS,,,,,,,,22 February 2019,01:45
69,KSC,,,,,,,,2 March 2019,07:49
70,VAFB,,,,,,,,4 May 2019,06:48
71,CCAFS,,,,,,,,24 May 2019,02:30
72,CCAFS,,,,,,,,12 June 2019,14:17
73,CCAFS,,,,,,,,25 July 2019,22:01
74,VAFB,,,,,,,,6 August 2019,23:23
75,CCAFS,,,,,,,,11 November 2019,14:56
76,CCAFS,,,,,,,,5 December 2019,17:29
77,VAFB,,,,,,,,17 December 2019,00:10
78,KSC,,,,,,,,7 January 2020,02:19:21
79,VAFB,,,,,,,,19 January 2020,15:30
80,CCAFS,,,,,,,,29 January 2020,14:07
81,CCAFS,,,,,,,,17 February 2020,15:05
82,VAFB,,,,,,,,7 March 2020,04:50
83,CCAFS,,,,,,,,18 March 2020,12:16
84,KSC,,,,,,,,22 April 2020,19:30
85,CCAFS,,,,,,,,30 May 2020,19:22
86,CCAFS,,,,,,,,4 June 2020,01:25
87,VAFB,,,,,,,,13 June 2020,09:21
88,CCAFS,,,,,,,,30 June 2020,20:10:46
89,CCAFS,,,,,,,,20 July 2020,21:30
90,CCAFS,,,,,,,,7 August 2020,05:12
91,CCAFS,,,,,,,,18 August 2020,14:31
92,CCAFS,,,,,,,,30 August 2020,23:18
93,CCAFS,,,,,,,,3 September 2020,12:46:14
94,KSC,,,,,,,,6 October 2020,11:29:34
95,CCAFS,,,,,,,,18 October 2020,12:25:57
96,CCAFS,,,,,,,,24 October 2020,15:31:34
97,CCAFS,,,,,,,,5 November 2020,23:24:23
98,KSC,,,,,,,,16 November 2020,00:27
99,KSC,,,,,,,,21 November 2020,17:17:08
100,KSC,,,,,,,,25 November 2020,02:13
101,CCAFS,,,,,,,,6 December 2020,16:17:08
102,CCAFS,,,,,,,,13 December 2020,17:30:00
103,CCAFS,,,,,,,,19 December 2020,14:00:00
104,CCAFS,,,,,,,,8 January 2021,02:15
105,KSC,,,,,,,,20 January 2021,13:02
106,CCAFS,,,,,,,,24 January 2021,15:00
1,CCAFS,,,,,,,,4 June 2010,06:19
2,KSC,,,,,,,,8 December 2010,03:59:37
3,KSC,,,,,,,,22 May 2012,08:24
4,KSC,,,,,,,,8 October 2012,08:13:29
5,CCAFS,,,,,,,,1 March 2013,10:01
6,CCAFS,,,,,,,,29 September 2013,08:28
7,KSC,,,,,,,,3 December 2013,16:34
8,VAFB,,,,,,,,6 January 2014,9:49
9,CCAFS,,,,,,,,18 April 2014,03:44
10,KSC,,,,,,,,14 July 2014,19:01
11,CCSFS,,,,,,,,5 August 2014,06:42
12,KSC,,,,,,,,7 September 2014,22:56
13,CCSFS,,,,,,,,21 September 2014,18:59
14,KSC,,,,,,,,10 January 2015,17:29
15,CCSFS,,,,,,,,11 February 2015,04:26
16,CCAFS,,,,,,,,2 March 2015,18:45
17,CCAFS,,,,,,,,14 April 2015,15:43
18,CCAFS,,,,,,,,27 April 2015,07:44
19,CCAFS,,,,,,,,28 June 2015,00:35
20,CCAFS,,,,,,,,22 December 2015,15:10
21,VAFB,,,,,,,,17 January 2016,16:00
22,CCAFS,,,,,,,,4 March 2016,22:41
23,CCAFS,,,,,,,,8 April 2016,22:06
24,Cape Canaveral,,,,,,,,6 May 2016,19:25
25,Cape Canaveral,,,,,,,,27 May 2016,15:15
26,Cape Canaveral,,,,,,,,15 June 2016,08:00
27,Cape Canaveral,,,,,,,,18 July 2016,05:00
28,Cape Canaveral,,,,,,,,14 August 2016,05:52
29,Cape Canaveral,,,,,,,,14 January 2017,09:47
30,Cape Canaveral,,,,,,,,19 February 2017,23:03
31,Cape Canaveral,,,,,,,,16 March 2017,03:50
32,Cape Canaveral,,,,,,,,30 March 2017,20:10
33,Cape Canaveral,,,,,,,,1 May 2017,23:03
34,Cape Canaveral,,,,,,,,15 May 2017,14:21
35,Cape Canaveral,,,,,,,,3 June 2017,01:29
36,VAFB,,,,,,,,23 June 2017,18:42
37,Cape Canaveral,,,,,,,,25 June 2017,23:35
38,Cape Canaveral,,,,,,,,5 July 2017,20:43
39,Cape Canaveral,,,,,,,,14 August 2017,05:21
40,Cape Canaveral,,,,,,,,24 August 2017,21:39
41,Cape Canaveral,,,,,,,,7 September 2017,14:29
42,Cape Canaveral,,,,,,,,9 October 2017,04:45
43,Cape Canaveral,,,,,,,,11 October 2017,05:26
44,VAFB,,,,,,,,30 October 2017,17:54
45,KSC,,,,,,,,15 December 2017,14:39
46,KSC,,,,,,,,23 December 2017,06:00
47,KSC,,,,,,,,8 January 2018,22:27
48,KSC,,,,,,,,31 January 2018,11:15
49,KSC,,,,,,,,22 February 2018,23:21
50,KSC,,,,,,,,6 March 2018,21:07
51,KSC,,,,,,,,30 March 2018,19:10
52,VAFB,,,,,,,,2 April 2018,20:25
53,KSC,,,,,,,,18 April 2018,23:38
54,KSC,,,,,,,,11 May 2018,16:31
55,VAFB,,,,,,,,22 May 2018,18:51
56,KSC,,,,,,,,4 June 2018,14:00
57,VAFB,,,,,,,,29 June 2018,12:37
58,KSC,,,,,,,,22 July 2018,22:53:00
59,KSC,,,,,,,,25 July 2018,19:34
60,Cape Canaveral,,,,,,,,7 August 2018,15:36
61,VAFB,,,,,,,,10 September 2018,01:27
62,CCAFS,,,,,,,,8 October 2018,01:00
63,CCAFS,,,,,,,,15 November 2018,21:25
64,VAFB,,,,,,,,3 December 2018,14:17
65,CCAFS,,,,,,,,5 December 2018,05:33
66,VAFB,,,,,,,,23 December 2018,14:14
67,CCAFS,,,,,,,,11 January 2019,20:30
68,CCAFS,,,,,,,,22 February 2019,22:51
69,KSC,,,,,,,,2 March 2019,20:14
70,VAFB,,,,,,,,4 May 2019,19:47
71,CCAFS,,,,,,,,24 May 2019,04:45
72,CCAFS,,,,,,,,12 June 2019,09:42
73,CCAFS,,,,,,,,25 July 2019,05:50
74,VAFB,,,,,,,,6 August 2019,11:39
75,CCAFS,,,,,,,,11 November 2019,05:18
76,CCAFS,,,,,,,,5 December 2019,04:45
77,VAFB,,,,,,,,17 December 2019,02:22
78,KSC,,,,,,,,7 January 2020,20:46
79,VAFB,,,,,,,,19 January 2020,18:34:05
80,CCAFS,,,,,,,,29 January 2020,18:16
81,CCAFS,,,,,,,,17 February 2020,13:51
82,VAFB,,,,,,,,7 March 2020,15:31
83,CCAFS,,,,,,,,18 March 2020,01:45
84,KSC,,,,,,,,22 April 2020,07:49
85,CCAFS,,,,,,,,30 May 2020,06:48
86,CCAFS,,,,,,,,4 June 2020,02:30
87,VAFB,,,,,,,,13 June 2020,14:17
88,CCAFS,,,,,,,,30 June 2020,22:01
89,CCAFS,,,,,,,,20 July 2020,23:23
90,CCAFS,,,,,,,,7 August 2020,14:56
91,CCAFS,,,,,,,,18 August 2020,17:29
92,CCAFS,,,,,,,,30 August 2020,00:10
93,CCAFS,,,,,,,,3 September 2020,02:19:21
94,KSC,,,,,,,,6 October 2020,15:30
95,CCAFS,,,,,,,,18 October 2020,14:07
96,CCAFS,,,,,,,,24 October 2020,15:05
97,CCAFS,,,,,,,,5 November 2020,04:50
98,KSC,,,,,,,,16 November 2020,12:16
99,KSC,,,,,,,,21 November 2020,19:30
100,KSC,,,,,,,,25 November 2020,19:22
101,CCAFS,,,,,,,,6 December 2020,01:25
102,CCAFS,,,,,,,,13 December 2020,09:21
103,CCAFS,,,,,,,,19 December 2020,20:10:46
104,CCAFS,,,,,,,,8 January 2021,21:30
105,KSC,,,,,,,,20 January 2021,05:12
106,CCAFS,,,,,,,,24 January 2021,14:31
1,CCAFS,,,,,,,,4 February 2021,23:18
2,KSC,,,,,,,,16 February 2021,12:46:14
3,KSC,,,,,,,,4 March 2021,11:29:34
4,KSC,,,,,,,,11 March 2021,12:25:57
5,CCAFS,,,,,,,,14 March 2021,15:31:34
6,CCAFS,,,,,,,,24 March 2021,23:24:23
7,KSC,,,,,,,,7 April 2021,00:27
8,VAFB,,,,,,,,23 April 2021,17:17:08
9,CCAFS,,,,,,,,29 April 2021,02:13
10,KSC,,,,,,,,4 May 2021,16:17:08
11,CCSFS,,,,,,,,9 May 2021,17:30:00
12,KSC,,,,,,,,15 May 2021,14:00:00
13,CCSFS,,,,,,,,26 May 2021,02:15
14,KSC,,,,,,,,3 June 2021,13:02
15,CCSFS,,,,,,,,6 June 2021,15:00
16,CCSFS,,,,,,,,4 June 2010,18:45
17,CCSFS,,,,,,,,8 December 2010,15:43
18,KSC,,,,,,,,22 May 2012,07:44
19,CCSFS,,,,,,,,8 October 2012,00:35
20,KSC,,,,,,,,1 March 2013,15:10
21,CCSFS,,,,,,,,29 September 2013,16:00
22,CCSFS,,,,,,,,3 December 2013,22:41
23,KSC,,,,,,,,6 January 2014,22:06
24,CCSFS,,,,,,,,18 April 2014,19:25
25,KSC,,,,,,,,14 July 2014,15:15
26,CCSFS,,,,,,,,5 August 2014,08:00
27,KSC,,,,,,,,7 September 2014,05:00
28,CCSFS,,,,,,,,21 September 2014,05:52
29,KSC,,,,,,,,10 January 2015,09:47
30,CCSFS,,,,,,,,11 February 2015,23:03
31,,,,,,,,,2 March 2015,03:50
32,,,,,,,,,14 April 2015,20:10
33,,,,,,,,,27 April 2015,23:03
34,,,,,,,,,28 June 2015,14:21
35,,,,,,,,,22 December 2015,01:29
36,,,,,,,,,17 January 2016,18:42
37,,,,,,,,,4 March 2016,23:35
38,,,,,,,,,8 April 2016,20:43
39,,,,,,,,,6 May 2016,05:21
40,,,,,,,,,27 May 2016,21:39
41,,,,,,,,,15 June 2016,14:29
42,,,,,,,,,18 July 2016,04:45
43,,,,,,,,,14 August 2016,05:26
44,,,,,,,,,14 January 2017,17:54
45,,,,,,,,,19 February 2017,14:39
46,,,,,,,,,16 March 2017,06:00
47,,,,,,,,,30 March 2017,22:27
48,,,,,,,,,1 May 2017,11:15
49,,,,,,,,,15 May 2017,23:21
50,,,,,,,,,3 June 2017,21:07
51,,,,,,,,,23 June 2017,19:10
52,,,,,,,,,25 June 2017,20:25
53,,,,,,,,,5 July 2017,23:38
54,,,,,,,,,14 August 2017,16:31
55,,,,,,,,,24 August 2017,18:51
56,,,,,,,,,7 September 2017,14:00
57,,,,,,,,,9 October 2017,12:37
58,,,,,,,,,11 October 2017,22:53:00
59,,,,,,,,,30 October 2017,19:34
60,,,,,,,,,15 December 2017,15:36
61,,,,,,,,,23 December 2017,01:27
62,,,,,,,,,8 January 2018,01:00
63,,,,,,,,,31 January 2018,21:25
64,,,,,,,,,22 February 2018,14:17
65,,,,,,,,,6 March 2018,05:33
66,,,,,,,,,30 March 2018,14:14
67,,,,,,,,,2 April 2018,20:30
68,,,,,,,,,18 April 2018,22:51
69,,,,,,,,,11 May 2018,20:14
70,,,,,,,,,22 May 2018,19:47
71,,,,,,,,,4 June 2018,04:45
72,,,,,,,,,29 June 2018,09:42
73,,,,,,,,,22 July 2018,05:50
74,,,,,,,,,25 July 2018,11:39
75,,,,,,,,,7 August 2018,05:18
76,,,,,,,,,10 September 2018,04:45
77,,,,,,,,,8 October 2018,02:22
78,,,,,,,,,15 November 2018,20:46
79,,,,,,,,,3 December 2018,18:34:05
80,,,,,,,,,5 December 2018,18:16
81,,,,,,,,,23 December 2018,13:51
82,,,,,,,,,11 January 2019,15:31
83,,,,,,,,,22 February 2019,01:45
84,,,,,,,,,2 March 2019,07:49
85,,,,,,,,,4 May 2019,06:48
86,,,,,,,,,24 May 2019,02:30
87,,,,,,,,,12 June 2019,14:17
88,,,,,,,,,25 July 2019,22:01
89,,,,,,,,,6 August 2019,23:23
90,,,,,,,,,11 November 2019,14:56
91,,,,,,,,,5 December 2019,17:29
92,,,,,,,,,17 December 2019,00:10
93,,,,,,,,,7 January 2020,02:19:21
94,,,,,,,,,19 January 2020,15:30
95,,,,,,,,,29 January 2020,14:07
96,,,,,,,,,17 February 2020,15:05
97,,,,,,,,,7 March 2020,04:50
98,,,,,,,,,18 March 2020,12:16
99,,,,,,,,,22 April 2020,19:30
100,,,,,,,,,30 May 2020,19:22
101,,,,,,,,,4 June 2020,01:25
102,,,,,,,,,13 June 2020,09:21
103,,,,,,,,,30 June 2020,20:10:46
104,,,,,,,,,20 July 2020,21:30
105,,,,,,,,,7 August 2020,05:12
106,,,,,,,,,18 August 2020,14:31
1,,,,,,,,,30 August 2020,23:18
2,,,,,,,,,3 September 2020,12:46:14
3,,,,,,,,,6 October 2020,11:29:34
4,,,,,,,,,18 October 2020,12:25:57
5,,,,,,,,,24 October 2020,15:31:34
6,,,,,,,,,5 November 2020,23:24:23
7,,,,,,,,,16 November 2020,00:27
8,,,,,,,,,21 November 2020,17:17:08
9,,,,,,,,,25 November 2020,02:13
10,,,,,,,,,6 December 2020,16:17:08
11,,,,,,,,,13 December 2020,17:30:00
12,,,,,,,,,19 December 2020,14:00:00
13,,,,,,,,,8 January 2021,02:15
14,,,,,,,,,20 January 2021,13:02
15,,,,,,,,,24 January 2021,15:00
16,,,,,,,,,4 June 2010,18:45
17,,,,,,,,,8 December 2010,15:43
18,,,,,,,,,22 May 2012,07:44
19,,,,,,,,,8 October 2012,00:35
20,,,,,,,,,1 March 2013,15:10
21,,,,,,,,,29 September 2013,16:00
22,,,,,,,,,3 December 2013,22:41
23,,,,,,,,,6 January 2014,22:06
24,,,,,,,,,18 April 2014,19:25
25,,,,,,,,,14 July 2014,15:15
26,,,,,,,,,5 August 2014,08:00
27,,,,,,,,,7 September 2014,05:00
28,,,,,,,,,21 September 2014,05:52
29,,,,,,,,,10 January 2015,09:47
30,,,,,,,,,11 February 2015,23:03
31,,,,,,,,,2 March 2015,03:50
32,,,,,,,,,14 April 2015,20:10
33,,,,,,,,,27 April 2015,23:03
34,,,,,,,,,28 June 2015,14:21
35,,,,,,,,,22 December 2015,01:29
36,,,,,,,,,17 January 2016,18:42
37,,,,,,,,,4 March 2016,23:35
38,,,,,,,,,8 April 2016,20:43
39,,,,,,,,,6 May 2016,05:21
40,,,,,,,,,27 May 2016,21:39
41,,,,,,,,,15 June 2016,14:29
42,,,,,,,,,18 July 2016,04:45
43,,,,,,,,,14 August 2016,05:26
44,,,,,,,,,14 January 2017,17:54
45,,,,,,,,,19 February 2017,14:39
46,,,,,,,,,16 March 2017,06:00
47,,,,,,,,,30 March 2017,22:27
48,,,,,,,,,1 May 2017,11:15
49,,,,,,,,,15 May 2017,23:21
50,,,,,,,,,3 June 2017,21:07
51,,,,,,,,,23 June 2017,19:10
52,,,,,,,,,25 June 2017,20:25
53,,,,,,,,,5 July 2017,23:38
54,,,,,,,,,14 August 2017,16:31
55,,,,,,,,,24 August 2017,18:51
56,,,,,,,,,7 September 2017,14:00
57,,,,,,,,,9 October 2017,12:37
58,,,,,,,,,11 October 2017,22:53:00
59,,,,,,,,,30 October 2017,19:34
60,,,,,,,,,15 December 2017,15:36
61,,,,,,,,,23 December 2017,01:27
62,,,,,,,,,8 January 2018,01:00
63,,,,,,,,,31 January 2018,21:25
64,,,,,,,,,22 February 2018,14:17
65,,,,,,,,,6 March 2018,05:33
66,,,,,,,,,30 March 2018,14:14
67,,,,,,,,,2 April 2018,20:30
68,,,,,,,,,18 April 2018,22:51
69,,,,,,,,,11 May 2018,20:14
70,,,,,,,,,22 May 2018,19:47
71,,,,,,,,,4 June 2018,04:45
72,,,,,,,,,29 June 2018,09:42
73,,,,,,,,,22 July 2018,05:50
74,,,,,,,,,25 July 2018,11:39
75,,,,,,,,,7 August 2018,05:18
76,,,,,,,,,10 September 2018,04:45
77,,,,,,,,,8 October 2018,02:22
78,,,,,,,,,15 November 2018,20:46
79,,,,,,,,,3 December 2018,18:34:05
80,,,,,,,,,5 December 2018,18:16
81,,,,,,,,,23 December 2018,13:51
82,,,,,,,,,11 January 2019,15:31
83,,,,,,,,,22 February 2019,01:45
84,,,,,,,,,2 March 2019,07:49
85,,,,,,,,,4 May 2019,06:48
86,,,,,,,,,24 May 2019,02:30
87,,,,,,,,,12 June 2019,14:17
88,,,,,,,,,25 July 2019,22:01
